state_name,component,value
Australian Capital Territory,Heat exposure,0.37004587155963303
Australian Capital Territory,Vulnerability,0.3512752293577982
Australian Capital Territory,Housing condition,0.4496238532110092
Australian Capital Territory,Health status,0.451605504587156
Australian Capital Territory,Adaptive capacity,0.742881188118812
New South Wales,Heat exposure,0.2890255183413078
New South Wales,Vulnerability,0.5310765550239235
New South Wales,Housing condition,0.550835725677831
New South Wales,Health status,0.5097240829346092
New South Wales,Adaptive capacity,0.534470304975923
Northern Territory,Heat exposure,0.7258730158730158
Northern Territory,Vulnerability,0.5985555555555556
Northern Territory,Housing condition,0.7928253968253969
Northern Territory,Health status,0.19368253968253968
Northern Territory,Adaptive capacity,0.33706451612903227
Other Territories,Heat exposure,0.0395
Other Territories,Vulnerability,0.37175
Other Territories,Housing condition,0.76825
Other Territories,Health status,0.3225
Other Territories,Adaptive capacity,
Queensland,Heat exposure,0.6868389513108614
Queensland,Vulnerability,0.5458239700374532
Queensland,Housing condition,0.5640880149812735
Queensland,Health status,0.5278014981273408
Queensland,Adaptive capacity,0.450088679245283
South Australia,Heat exposure,0.6775269461077844
South Australia,Vulnerability,0.5602694610778443
South Australia,Housing condition,0.3927784431137724
South Australia,Health status,0.6555508982035928
South Australia,Adaptive capacity,0.4670060606060606
Tasmania,Heat exposure,0.276125
Tasmania,Vulnerability,0.6756770833333333
Tasmania,Housing condition,0.45031249999999995
Tasmania,Health status,0.7404166666666666
Tasmania,Adaptive capacity,0.37913541666666667
Unknown,Heat exposure,
Unknown,Vulnerability,
Unknown,Housing condition,
Unknown,Health status,
Unknown,Adaptive capacity,
Victoria,Heat exposure,0.5013696498054475
Victoria,Vulnerability,0.479488326848249
Victoria,Housing condition,0.46768677042801554
Victoria,Health status,0.4991964980544747
Victoria,Adaptive capacity,0.4875614035087719
Western Australia,Heat exposure,0.5957871485943775
Western Australia,Vulnerability,0.3898192771084337
Western Australia,Housing condition,0.3843293172690763
Western Australia,Health status,0.41466666666666663
Western Australia,Adaptive capacity,0.5712240663900414
