state_name,hhri,exposure_index,vulnerability_index,housing_index,health_status_index,adaptive_capacity_index,pct_65_plus_2024,seifa_irsd_score,population_density_per_sqkm,population_total,sa2_count
Australian Capital Territory,0.2421782178217822,0.37004587155963303,0.3512752293577982,0.4496238532110092,0.451605504587156,0.742881188118812,15.494399999999999,1072.3272727272727,1614.6336559371734,451077.0,136
New South Wales,0.38823916532905295,0.2890255183413078,0.5310765550239235,0.550835725677831,0.5097240829346092,0.534470304975923,19.12015625,1001.2140575079873,2050.6955496368682,8155174.0,644
Northern Territory,0.7400322580645161,0.7258730158730158,0.5985555555555556,0.7928253968253969,0.19368253968253968,0.33706451612903227,10.590909090909092,904.2903225806451,935.5063098409912,250654.0,70
Other Territories,,0.0395,0.37175,0.76825,0.3225,,20.5,923.0,29.91704770834326,4919.0,6
Queensland,0.6338358490566037,0.6868389513108614,0.5458239700374532,0.5640880149812735,0.5278014981273408,0.450088679245283,17.730499075785584,990.204502814259,1138.1148514821061,5326429.0,548
South Australia,0.6319757575757575,0.6775269461077844,0.5602694610778443,0.3927784431137724,0.6555508982035928,0.4670060606060606,21.629411764705882,980.0783132530121,963.553153081144,1821515.0,176
Tasmania,0.5391875,0.276125,0.6756770833333333,0.45031249999999995,0.7404166666666666,0.37913541666666667,21.996907216494844,962.75,436.8084601171524,571533.0,101
Unknown,,,,,,,,,,0.0,1
Victoria,0.48888888888888893,0.5013696498054475,0.479488326848249,0.46768677042801554,0.4991964980544747,0.4875614035087719,17.796525096525098,1010.2300194931773,1778.1458810990262,6619780.0,524
Western Australia,0.4537510373443983,0.5957871485943775,0.3898192771084337,0.3843293172690763,0.41466666666666663,0.5712240663900414,17.784824902723734,1005.0781893004115,1050.8858724227591,2787792.0,267
