region_name,state_name,component,value
Coober Pedy,South Australia,Heat exposure,0.948
Coober Pedy,South Australia,Vulnerability,0.929
Coober Pedy,South Australia,Housing condition,0.742
Coober Pedy,South Australia,Health status,0.522
Coober Pedy,South Australia,Adaptive capacity,0.014
Inglewood - Waggamba,Queensland,Heat exposure,0.998
Inglewood - Waggamba,Queensland,Vulnerability,0.886
Inglewood - Waggamba,Queensland,Housing condition,0.448
Inglewood - Waggamba,Queensland,Health status,0.693
Inglewood - Waggamba,Queensland,Adaptive capacity,0.056
Tennant Creek,Northern Territory,Heat exposure,0.887
Tennant Creek,Northern Territory,Vulnerability,0.966
Tennant Creek,Northern Territory,Housing condition,0.933
Tennant Creek,Northern Territory,Health status,0.512
Tennant Creek,Northern Territory,Adaptive capacity,0.018
Walgett - Lightning Ridge,New South Wales,Heat exposure,0.937
Walgett - Lightning Ridge,New South Wales,Vulnerability,0.939
Walgett - Lightning Ridge,New South Wales,Housing condition,0.679
Walgett - Lightning Ridge,New South Wales,Health status,0.59
Walgett - Lightning Ridge,New South Wales,Adaptive capacity,0.082
Ashfield - Kepnock,Queensland,Heat exposure,0.924
Ashfield - Kepnock,Queensland,Vulnerability,0.982
Ashfield - Kepnock,Queensland,Housing condition,0.681
Ashfield - Kepnock,Queensland,Health status,0.945
Ashfield - Kepnock,Queensland,Adaptive capacity,0.087
Walkervale - Avenell Heights,Queensland,Heat exposure,0.95
Walkervale - Avenell Heights,Queensland,Vulnerability,0.964
Walkervale - Avenell Heights,Queensland,Housing condition,0.68
Walkervale - Avenell Heights,Queensland,Health status,0.986
Walkervale - Avenell Heights,Queensland,Adaptive capacity,0.13
Davoren Park,South Australia,Heat exposure,0.89
Davoren Park,South Australia,Vulnerability,0.974
Davoren Park,South Australia,Housing condition,0.917
Davoren Park,South Australia,Health status,0.696
Davoren Park,South Australia,Adaptive capacity,0.081
Balonne,Queensland,Heat exposure,0.997
Balonne,Queensland,Vulnerability,0.848
Balonne,Queensland,Housing condition,0.599
Balonne,Queensland,Health status,0.586
Balonne,Queensland,Adaptive capacity,0.07
Miles - Wandoan,Queensland,Heat exposure,0.986
Miles - Wandoan,Queensland,Vulnerability,0.835
Miles - Wandoan,Queensland,Housing condition,0.594
Miles - Wandoan,Queensland,Health status,0.628
Miles - Wandoan,Queensland,Adaptive capacity,0.039
Carpentaria,Queensland,Heat exposure,0.986
Carpentaria,Queensland,Vulnerability,0.817
Carpentaria,Queensland,Housing condition,0.775
Carpentaria,Queensland,Health status,0.317
Carpentaria,Queensland,Adaptive capacity,0.021
